Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Elemental Gearbolt,PS,1997,Shooter,Sony Computer Entertainment,0.03,0.02,0,0,0.06
Final Fantasy VII International,PS,1997,Role-Playing,Square,0,0,0.59,0.04,0.63
Final Fantasy Tactics,PS,1997,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45
SaGa Frontier,PS,1997,Role-Playing,SquareSoft,0.15,0.04,1.07,0.09,1.35
Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,SquareSoft,0,0,1.14,0.08,1.22
Front Mission 2,PS,1997,Strategy,SquareSoft,0,0,0.49,0.03,0.53
Tobal 2,PS,1997,Fighting,SquareSoft,0,0,0.35,0.02,0.37
Einhänder,PS,1997,Shooter,SquareSoft,0.1,0.07,0.13,0.02,0.31
Final Fantasy IV,PS,1997,Simulation,SquareSoft,0,0,0.29,0.02,0.31
Front Mission Alternative,PS,1997,Strategy,SquareSoft,0,0,0.13,0.01,0.14
Big Bass World Championship,PS,1997,Sports,Starfish,0.2,0.14,0,0.02,0.36
Chameleon Twist,N64,1997,Platform,Sunsoft,0.09,0.02,0,0,0.11
Densha De Go!,PS,1997,Simulation,Taito,0,0,1.02,0.07,1.09
DX Game of Life 2,PS,1997,Misc,Takara,0,0,0.31,0.02,0.33
Choro Q2,PS,1997,Racing,Takara,0,0,0.23,0.02,0.25
Grand Theft Auto,PS,1997,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32
Wheel of Fortune,N64,1997,Misc,Take-Two Interactive,0.2,0.05,0,0,0.25
Space Station Silicon Valley,N64,1997,Adventure,Take-Two Interactive,0.12,0.03,0,0,0.15
Monster Rancher,PS,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01
Dynasty Warriors,PS,1997,Action,Tecmo Koei,0.09,0.06,0.11,0.02,0.27
Gallop Racer 2: One and Only Road to Victory,PS,1997,Sports,Tecmo Koei,0,0,0.25,0.02,0.27
Asteroids Hyper 64,N64,1999,Shooter,Crave Entertainment,0.13,0.03,0,0,0.16
Galerians,PS,1999,Adventure,Crave Entertainment,0.08,0.06,0,0.01,0.15
